'Nachname';'Vorname';'Geburtsjahr';'Partei (trim)';'Partei-Nr';'Land (Trim)';'Land-Nr.';'Platz';'Wahlkreis - Nr.'
'Bing';'Peter';1951;'RENTNER';28;'Schleswig-Holstein';15;' 2 ';'  '
'Binninger';'Clemens';1962;'CDU';6;;;;260
'Birk';'Katharina';1967;'DIE LINKE';13;'Baden-Württemberg';1;' 19 ';'  '
'Birkwald';'Matthias W.';1961;'DIE LINKE';13;'Nordrhein-Westfalen';10;' 10 ';95
'Bischof';'Florian';1977;'PIRATEN';26;'Berlin';3;' 1 ';'  '
'Bischoff';'Joachim';1944;'DIE LINKE';13;;;;19
'Bitsch';'Peter';1950;'REP';14;'Hessen';7;' 5 ';'  '
'Bittel';'Dr. Günther Wolfgang';1953;'MLPD';20;'Nordrhein-Westfalen';10;' 23 ';'  '
'Blank';'Kurt Jürgen';1970;'NPD';22;;;;257
'Blankenheim';'Bernhard';1951;'NPD';22;;;;96
'Bläsche';'Thomas';1978;'FDP';17;'Rheinland-Pfalz';11;' 10 ';205
'Bläsing';'Robert';1982;'FDP';17;'Hamburg';6;' 11 ';22
'Blech';'Bernd';1961;'REP';14;;;;142
'Blechschmidt';'Thomas';1965;'K:Blechschmidt';30;;;;221
'Blender';'Dr. Wolfgang';1955;'FDP';17;'Rheinland-Pfalz';11;' 26 ';'  '
'Bleser';'Peter';1952;'CDU';6;'Rheinland-Pfalz';11;' 4 ';201
'Bliemel';'Stephan';1978;'SPD';29;'Mecklenburg-Vorpommern';8;' 5 ';12
'Bliss';'Prof. Dr. Frank';1956;'GRÜNE';4;;;;199
'Blitz';'Detlev';1958;'SPD';29;'Hessen';7;' 18 ';187
'Blöcker';'Dr. Helmut';1945;'GRÜNE';4;;;;51
'Blocks';'Günter';1958;'DIE LINKE';13;;;;126
'Blohm';'Marion Else';1953;'DVU';11;'Bremen';5;' 3 ';'  '
'Blome';'Frank';1973;'NPD';22;;;;41
'Blotenberg';'Barbara';1960;'GRÜNE';4;;;;144
'Bluhm';'Heidrun';1958;'DIE LINKE';13;'Mecklenburg-Vorpommern';8;' 3 ';17
'Blum';'Claudia';1968;'SPD';29;'Hessen';7;' 15 ';175
'Blume';'Klaus';1944;'RRP';27;;;;226
'Blumenthal';'Sebastian';1974;'FDP';17;'Schleswig-Holstein';15;' 3 ';5
'Blumentritt';'Volker';1946;'SPD';29;'Thüringen';16;' 6 ';194
'Blumer';'Jürgen';1958;'MLPD';20;;;;117
'Bockhahn';'Steffen';1978;'DIE LINKE';13;;;;14
'Boes';'Ralph';1957;'K:Boes';30;;;;76
'Bögel';'Claudia';1961;'FDP';17;'Nordrhein-Westfalen';10;' 17 ';125
'Böger';'Melanie';1971;'DIE LINKE';13;'Niedersachsen';9;' 9 ';'  '
'Böhler';'Werner';1964;'SPD';29;'Nordrhein-Westfalen';10;' 41 ';137
'Böhm';'Dr. Dorothea';1962;'FAMILIE';16;'Nordrhein-Westfalen';10;' 2 ';'  '
'Böhm';'Walter';1959;'NPD';22;;;;219
'Böhmer';'Prof. Dr. Maria';1950;'CDU';6;'Rheinland-Pfalz';11;' 2 ';208
'Böhmler';'Helmut';1952;'MLPD';20;;;;103
'Böhner';'Georg';1957;'DIE LINKE';13;;;;237
'Böhning';'Björn Lars';1978;'SPD';29;;;;84
'Bok';'Karl-Heinz';1951;'ödp';23;'Baden-Württemberg';1;' 11 ';264
'Bollmann';'Gerd';1947;'SPD';29;;;;142
'Bonde';'Alexander';1975;'GRÜNE';4;'Baden-Württemberg';1;' 8 ';283
'Borde';'Keno';1982;'SPD';29;'Niedersachsen';9;' 28 ';26
'Borgwardt';'Klaus-Peter';1953;'MLPD';20;'Baden-Württemberg';1;' 1 ';'  '
'Borgwardt';'Sonja Angela';1951;'MLPD';20;'Nordrhein-Westfalen';10;' 24 ';'  '
'Börm';'Manfred';1950;'NPD';22;'Niedersachsen';9;' 9 ';45
'Born';'Helmut';1952;'DIE LINKE';13;;;;107
'Born';'Markus';1982;'NPD';22;;;;106
'Born';'Thomas';1983;'BüSo';5;'Sachsen';13;' 10 ';'  '
'Börnsen';'Wolfgang';1942;'CDU';6;'Schleswig-Holstein';15;' 4 ';1
'Borrmann';'Raimund Frank';1960;'NPD';22;;;;15
'Börs';'Peter';1944;'NPD';22;;;;57
'Bortlisz-Dickhoff';'Johannes Martin Maria';1957;'GRÜNE';4;;;;92
'Bosbach';'Wolfgang';1952;'CDU';6;'Nordrhein-Westfalen';10;' 7 ';101
'Bosold';'Hans-Joachim';1952;'NPD';22;;;;175
'Bosse von';'Dr. Arnold Klaus Siegmund Georg';1947;'GRÜNE';4;;;;15
'Bothe';'Karin';1965;'FDP';17;'Rheinland-Pfalz';11;' 25 ';'  '
'Bothe';'Martin';1968;'Tierschutz';21;'Niedersachsen';9;' 2 ';'  '
'Böttcher';'Jorg';1958;'K:Böttcher';30;;;;48
'Böttcher';'Süntje';1981;'PIRATEN';26;'Saarland';12;' 8 ';'  '
'Böttcher';'Viktor';1952;'SPD';29;'Hessen';7;' 34 ';'  '
'Böttger';'Dr. Martin';1947;'GRÜNE';4;;;;166
'Bousonville';'Reiner';1961;'GRÜNE';4;;;;180
'Boxler';'Stefan Alois';1964;'GRÜNE';4;'Sachsen';13;' 6 ';164
'Bracht-Bendt';'Nicole';1959;'FDP';17;'Niedersachsen';9;' 6 ';37
'Brackmann';'Norbert';1954;'CDU';6;'Schleswig-Holstein';15;' 11 ';10
'Brähmig';'Klaus Peter';1957;'CDU';6;'Sachsen';13;' 6 ';159
'Brand';'Matthias Walter Heinrich';1961;'FAMILIE';16;'Bayern';2;' 9 ';'  '
'Brand';'Michael';1973;'CDU';6;'Hessen';7;' 18 ';175
'Brandhoff';'Sascha';1982;'PIRATEN';26;'Hessen';7;' 6 ';'  '
'Brandl';'Bernd';1972;'BP';3;'Bayern';2;' 14 ';'  '
'Brandl';'Dr. Reinhard';1977;'CSU';8;;;;217
'Brandner';'Klaus';1949;'SPD';29;'Nordrhein-Westfalen';10;' 6 ';132
'Brandt';'Achim';1965;'Volksabst.';1;'Baden-Württemberg';1;' 4 ';'  '
'Brandt';'Fridolin';1945;'DIE LINKE';13;;;;216
'Brandt';'Helmut';1950;'CDU';6;'Nordrhein-Westfalen';10;' 29 ';89
'Brandt';'Holger Ernst';1989;'K:Brandt';30;;;;77
'Branghofer';'Gerald';1983;'DVU';11;'Nordrhein-Westfalen';10;' 3 ';'  '
'Branghofer';'Max Erich';1945;'DVU';11;'Nordrhein-Westfalen';10;' 1 ';'  '
'Brase';'Willi';1951;'SPD';29;'Nordrhein-Westfalen';10;' 5 ';149
'Brauer';'Stephen';1970;'FDP';17;'Baden-Württemberg';1;' 18 ';268
'Bräuer';'Rolf';1955;'GRÜNE';4;;;;46
'Brauksiepe';'Dr. Ralf';1967;'CDU';6;'Nordrhein-Westfalen';10;' 10 ';140
'Braun';'Dr. Bernhard';1958;'GRÜNE';4;;;;208
'Braun';'Dr. Helge Reinhold';1972;'CDU';6;'Hessen';7;' 10 ';174
'Braun';'Petra';1957;'MLPD';20;;;;126
'Braun';'Volker';1970;'NPD';22;;;;120
'Brauner';'Manfred';1960;'DIE LINKE';13;'Niedersachsen';9;' 10 ';39
'Bräutigam';'Dr. Lutz';1968;'GRÜNE';4;;;;242
'Bredow';'von Harald-Ingo';1949;'BP';3;'Bayern';2;' 47 ';'  '
'Brehme';'Ulrich Johannes';1966;'ödp';23;'Niedersachsen';9;' 2 ';'  '
'Brehmer';'Heike';1962;'CDU';6;'Sachsen-Anhalt';14;' 6 ';69
'Breidbach';'Manfred Helmut';1968;'NPD';22;'Nordrhein-Westfalen';10;' 4 ';107
'Breidenbach';'Rolf';1955;'FDP';17;'Berlin';3;' 11 ';80
'Breil';'Klaus';1945;'FDP';17;'Bayern';2;' 13 ';226
'Breitenbach';'Elke';1961;'DIE LINKE';13;'Berlin';3;' 9 ';'  '
'Breitenfellner';'Thomas Achim';1982;'CSU';8;'Bayern';2;' 45 ';'  '
'Breitmeier';'Adolf Wilhelm';1937;'ADM';2;;;;186
'Brem';'Hermann';1961;'GRÜNE';4;'Bayern';2;' 16 ';221
'Bremer';'Klaus';1952;'MLPD';20;'Hessen';7;' 4 ';'  '
'Brenner';'Dr. Gerd';1949;'GRÜNE';4;;;;110
'Brenning';'Ernst';1952;'CDU';6;'Berlin';3;' 10 ';'  '
'Bresch';'Harald';1962;'K:Bresch';30;;;;67
'Bresonik';'Frank';1969;'FAMILIE';16;'Nordrhein-Westfalen';10;' 11 ';'  '
'Breyer';'Eveline';1982;'CDU';6;'Rheinland-Pfalz';11;' 38 ';'  '
'Brie';'Dr. Andreas';1950;'DIE LINKE';13;;;;66
'Brinkhaus';'Ralph';1968;'CDU';6;'Nordrhein-Westfalen';10;' 45 ';132
'Brinkmann';'Bernhard';1952;'SPD';29;'Niedersachsen';9;' 22 ';49
'Brocke von';'Rüdiger';1957;'SPD';29;'Schleswig-Holstein';15;' 18 ';'  '
'Brodnicki';'Benjamin';1986;'DVU';11;'Bremen';5;' 5 ';'  '
