Wahlkreis;Partei;Erststimmen;Zweitstimmen;Jahr
45;22;2501;2291;2009
45;23;;190;2009
45;24;748;560;2005
45;26;;2957;2009
45;27;1684;2023;2009
45;29;79449;69053;2005
45;29;50107;42402;2009
45;30;;559;2005
45;32;570;;2005
45;36;;117;2005
45;99;;715;2005
46;4;5645;10509;2005
46;4;9476;14217;2009
46;5;;92;2005
46;6;63355;55810;2005
46;6;58827;53085;2009
46;11;;155;2009
46;13;5984;7193;2005
46;13;11663;13314;2009
46;17;5354;14026;2005
46;17;10073;17875;2009
46;20;;67;2005
46;20;;41;2009
46;21;;1037;2005
46;21;;1297;2009
46;22;2192;2232;2005
46;22;2029;1882;2009
46;23;;181;2009
46;24;1138;851;2005
46;24;838;;2009
46;26;;3359;2009
46;27;1346;1497;2009
46;29;87957;79969;2005
46;29;64365;52292;2009
46;30;;436;2005
46;36;;141;2005
46;99;570;676;2005
46;99;388;;2009
47;4;6815;9756;2005
47;4;10849;13322;2009
47;5;;66;2005
47;6;54582;45916;2005
47;6;49787;41166;2009
47;11;;146;2009
47;13;6737;7057;2005
47;13;11820;12911;2009
47;17;7248;15170;2005
47;17;10401;19736;2009
47;20;;44;2005
47;20;;53;2009
47;21;;1049;2005
47;21;;1285;2009
47;22;2321;2283;2005
47;22;2283;1982;2009
47;23;;130;2009
47;24;;361;2005
47;26;;2571;2009
47;27;;820;2009
47;29;78435;74129;2005
47;29;55842;47115;2009
47;30;;815;2005
47;36;;155;2005
47;99;;577;2005
48;4;8000;15028;2005
48;4;12533;18936;2009
48;5;;101;2005
48;6;69840;58796;2005
48;6;65573;57144;2009
48;11;;181;2009
48;13;6429;7164;2005
48;13;11976;13908;2009
48;17;6658;16590;2005
48;17;12982;22004;2009
48;20;;83;2005
48;20;;53;2009
48;21;;1157;2005
48;21;;1513;2009
48;22;2834;2634;2005
48;22;2853;2534;2009
48;23;;248;2009
48;24;;385;2005
48;26;;3528;2009
48;27;1422;1767;2009
48;29;99465;90630;2005
48;29;73215;59493;2009
48;30;;553;2005
48;36;;156;2005
48;40;496;;2005
48;99;;970;2005
48;99;502;;2009
49;4;8630;12684;2005
49;4;14856;17360;2009
49;5;;74;2005
49;6;66053;58261;2005
49;6;60376;52747;2009
49;11;;152;2009
49;13;5481;6781;2005
49;13;11402;13429;2009
49;17;4929;12909;2005
49;17;10231;18752;2009
49;20;;48;2005
49;20;;52;2009
49;21;;1041;2005
49;21;;1405;2009
49;22;2289;2315;2005
49;22;2606;2452;2009
49;23;;171;2009
49;24;;383;2005
49;26;;3191;2009
49;27;1293;1520;2009
49;29;91383;84440;2005
49;29;64555;54487;2009
49;30;;596;2005
49;36;;159;2005
49;99;496;709;2005
50;4;5718;9317;2005
50;4;9032;13744;2009
50;5;;70;2005
50;6;60671;53365;2005
50;6;50519;47719;2009
50;11;;186;2009
50;13;6896;8596;2005
50;13;12538;15569;2009
50;17;4466;12572;2005
50;17;9436;16479;2009
50;20;;75;2005
50;20;;34;2009
50;21;;1087;2005
50;21;;1334;2009
50;22;2680;2704;2005
50;22;2791;2490;2009
50;23;;129;2009
50;24;787;528;2005
50;26;;2812;2009
50;27;1163;1771;2009
50;29;89068;81279;2005
50;29;69631;53144;2009
50;30;;667;2005
50;36;;124;2005
50;99;;755;2005
51;4;6613;14421;2005
51;4;12012;19831;2009
51;5;;78;2005
51;6;51257;42048;2005
51;6;47584;40135;2009
51;11;;134;2009
51;13;6376;8096;2005
51;13;10801;13763;2009
51;17;4414;12344;2005
51;17;7507;15845;2009
51;20;233;127;2005
51;20;118;77;2009
51;21;;986;2005
51;21;;1114;2009
51;22;1579;1597;2005
51;22;1310;1324;2009
51;23;;184;2009
51;24;;230;2005
51;26;4214;4962;2009
51;27;;1270;2009
51;29;74710;64679;2005
51;29;53572;39774;2009
51;30;;660;2005
51;36;;103;2005
51;99;;791;2005
51;99;1094;;2009
52;4;5414;8297;2005
52;4;10692;11801;2009
52;5;;56;2005
52;6;54172;46352;2005
52;6;52427;45319;2009
52;11;;101;2009
52;13;5607;6567;2005
